Id,Title,Amount,IsPreferential,SourceAccountId,DestinationAccountId,BankDepartmentId,CurrencyId,TimeFrameId
1,sedvestibulumsitamet,916,false,499,715,87,2,81
2,morbiporttitorloremidligula,3755,false,823,426,70,1,12
3,vestibulumegetvulputateutultrices,854,true,942,812,84,1,1
4,lectuspellentesqueat,160,false,978,771,92,1,26
5,lobortisconvallis,1223,false,674,362,22,3,63
6,porttitorlacusatturpis,3569,true,686,763,72,5,150
7,mattisegestasmetus,2834,false,435,618,78,4,102
8,luctuscumsociisnatoque,2155,false,662,627,53,5,47
9,congueegetsemperrutrumnulla,1108,true,949,468,100,2,75
10,lacinia,697,false,122,194,96,4,101
11,lectusaliquamsitamet,3042,false,749,252,88,1,10
12,necnisivolutpateleifend,1854,true,915,457,83,2,113
13,odioelementumeuinterdum,1586,false,881,858,79,4,48
14,adipiscingmolestiehendreritat,1077,false,278,417,63,1,92
15,ligula,450,true,732,142,47,1,121
16,turpissedantevivamustortor,1001,false,866,959,58,3,48
17,tempusvivamusin,3403,false,676,6,94,3,153
18,pulvinarsednisl,2705,true,91,644,64,4,39
19,nulla,2009,false,591,941,18,1,109
20,hachabitasse,1647,false,577,470,77,1,132
21,convallismorbi,2739,true,898,363,55,5,154
22,tristique,3553,false,913,30,53,4,149
23,sapienvariusut,2666,false,439,816,41,4,67
24,luctus,3264,true,473,254,54,1,129
25,donecquis,3886,false,503,233,46,3,15
26,morbi,2252,false,925,766,80,4,9
27,aliquamsitametdiam,1933,true,267,498,67,1,67
28,disparturient,791,false,759,458,52,3,178
29,sapienvariusut,1528,false,93,943,99,2,7
30,integeraliquetmassaid,2909,true,375,240,47,2,164
31,namconguerisussemper,3905,false,198,831,35,1,81
32,estdonec,494,false,521,850,85,5,82
33,feugiatnonpretium,3124,true,773,212,55,4,86
34,quisqueeraterosviverraeget,3551,false,725,25,91,1,77
35,urna,70,false,725,298,95,3,120
36,auguealiquamerat,997,true,667,560,61,3,73
37,metussapienut,810,false,937,89,87,3,94
38,fermentumdonec,2989,false,105,187,16,1,7
39,dapibusauguevel,187,true,2,601,41,2,69
40,maecenaspulvinarlobortis,91,false,350,627,76,5,36
41,hachabitasseplatea,2371,false,147,738,40,2,150
42,ligulasitameteleifendpede,3305,true,145,395,11,5,149
43,tortorsollicitudinmisitamet,1886,false,499,20,28,1,2
44,nullatempusvivamus,2044,false,908,4,35,2,110
45,vestibulumvestibulumanteipsum,1483,true,810,221,95,5,26
46,ornareimperdietsapien,2112,false,605,384,75,5,63
47,liberonullamsitametturpis,1040,false,554,255,39,5,117
48,amet,3444,true,450,517,39,5,39
49,velaccumsantellus,1697,false,308,178,35,2,16
50,sagittis,2735,false,443,965,61,1,13
51,anteipsumprimisinfaucibus,237,true,107,716,100,4,180
52,metusvitaeipsumaliquam,2156,false,199,622,85,5,19
53,velit,2083,false,945,547,77,5,96
54,nullammolestienibhinlectus,3471,true,64,542,67,3,41
55,antenullajustoaliquam,1975,false,600,449,54,3,77
56,suspendisseaccumsantortor,2721,false,329,608,35,2,151
57,leo,1215,true,301,616,47,4,53
58,potenti,2729,false,184,615,9,3,46
59,ipsumaliquamnonmaurismorbi,2624,false,770,719,54,3,139
60,scelerisquequamturpis,327,true,568,907,53,1,148
61,sapiencum,1583,false,693,494,38,4,155
62,utmassa,3153,false,842,736,32,1,101
63,vehiculacondimentumcurabitur,3615,true,519,412,24,5,70
64,sempraesentid,3835,false,108,10,80,5,159
65,velauguevestibulum,966,false,829,314,29,4,22
66,pulvinarnullapede,1603,true,194,771,72,5,63
67,morbiutodiocras,2651,false,68,691,5,4,95
68,sitametconsectetueradipiscing,2609,false,444,318,40,1,172
69,risusauctorsed,3032,true,962,820,31,2,150
70,sagittisnamcongue,1054,false,400,19,47,1,84
71,ligulapellentesque,3310,false,168,851,31,2,65
72,praesentidmassaid,1890,true,931,229,24,1,72
73,crasnonvelitnec,239,false,53,14,24,3,56
74,duisconsequatdui,2262,false,540,318,9,3,57
75,anibhin,1096,true,811,971,38,2,9
76,massavolutpatconvallis,1209,false,549,375,20,4,114
77,in,631,false,112,427,8,5,140
78,craspellentesquevolutpatduimaecenas,3578,true,596,649,32,3,118
79,fringillarhoncusmaurisenimleo,1943,false,953,849,80,5,134
80,vestibulumvestibulumante,499,false,663,428,2,1,19
81,vivamus,2769,true,599,262,98,4,81
82,nislnuncrhoncusduivel,3433,false,662,910,31,3,173
83,nislduis,3155,false,302,750,82,2,81
84,dignissimvestibulum,35,true,325,99,16,4,76
85,morbi,3010,false,743,336,37,3,86
86,blanditultricesenimloremipsum,1008,false,417,52,60,5,14
87,diamid,2078,true,55,573,51,1,113
88,inleo,3159,false,265,783,63,2,3
89,pulvinarnulla,1180,false,424,220,5,1,55
90,velipsum,3011,true,231,104,32,2,26
91,diameratfermentumjustonec,1526,false,329,6,26,1,133
92,inhachabitasseplatea,1751,false,56,431,22,4,150
93,pellentesqueviverrapedeacdiam,2673,true,77,404,52,5,158
94,sed,1541,false,854,752,20,5,30
95,nonquamnec,2549,false,499,772,35,4,116
96,duisacnibh,3614,true,915,747,82,5,69
97,nec,1862,false,914,511,94,4,9
